perturbation,variable,term,membership_type,breakpoint_index,direction,original_value,perturbed_value,effective_value,MAP,nDCG@10,P@5,MRR,delta_MAP,delta_nDCG@10,delta_P@5,delta_MRR,kendall_tau,average_rank_displacement
recency.very_old.b1.minus_10,recency,very_old,trimf,1,minus_10,98.0,88.2,88.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.very_old.b2.plus_10,recency,very_old,trimf,2,plus_10,98.0,107.8,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.very_old.b2.minus_10,recency,very_old,trimf,2,minus_10,98.0,88.2,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.very_old.b3.plus_10,recency,very_old,trimf,3,plus_10,98.0,107.8,107.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recency.very_old.b3.minus_10,recency,very_old,trimf,3,minus_10,98.0,88.2,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.low.b1.plus_10,completeness,low,trimf,1,plus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.low.b1.minus_10,completeness,low,trimf,1,minus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.low.b2.plus_10,completeness,low,trimf,2,plus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.low.b2.minus_10,completeness,low,trimf,2,minus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.low.b3.plus_10,completeness,low,trimf,3,plus_10,0.564407,0.620847,0.620847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.low.b3.minus_10,completeness,low,trimf,3,minus_10,0.564407,0.507966,0.507966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.partial.b1.plus_10,completeness,partial,trimf,1,plus_10,0.564407,0.620847,0.620847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.partial.b1.minus_10,completeness,partial,trimf,1,minus_10,0.564407,0.507966,0.507966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.partial.b2.plus_10,completeness,partial,trimf,2,plus_10,0.649153,0.714068,0.714068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.partial.b2.minus_10,completeness,partial,trimf,2,minus_10,0.649153,0.584237,0.584237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.partial.b3.plus_10,completeness,partial,trimf,3,plus_10,0.813559,0.894915,0.894915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.partial.b3.minus_10,completeness,partial,trimf,3,minus_10,0.813559,0.732203,0.732203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.medium.b1.plus_10,completeness,medium,trapmf,1,plus_10,0.649153,0.714068,0.714068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.medium.b1.minus_10,completeness,medium,trapmf,1,minus_10,0.649153,0.584237,0.584237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.medium.b2.plus_10,completeness,medium,trapmf,2,plus_10,0.813559,0.894915,0.818644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.medium.b2.minus_10,completeness,medium,trapmf,2,minus_10,0.813559,0.732203,0.732203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.medium.b3.plus_10,completeness,medium,trapmf,3,plus_10,0.818644,0.900508,0.864915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.medium.b3.minus_10,completeness,medium,trapmf,3,minus_10,0.818644,0.73678,0.813559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.medium.b4.plus_10,completeness,medium,trapmf,4,plus_10,0.864915,0.951407,0.951407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.medium.b4.minus_10,completeness,medium,trapmf,4,minus_10,0.864915,0.778424,0.818644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
