id,name,title_en,title_de,metadata_created,metadata_modified,days_since_modified,organization_name,publisher,description_length,num_keywords,num_themes,num_resources,resource_formats,has_api,license_id,completeness_score,title_length
42e11bd9-75cb-4c37-a79f-f96e0c31ef35,grossratswahlen-2024-kandidatenstimmen-nach-herkunft-der-stimmen-panaschierstatistik-bezirk-fra,,Grossratswahlen 2024: Kandidatenstimmen nach Herkunft der Stimmen (Panaschierstatistik) Bezirk Frauenfeld,2024-04-08T11:51:16.221727,2026-03-06T13:24:31.828054,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",433,11,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,105
7b3d08ac-8071-4c44-b0fe-7941262b16bb,jugend-sport-teilnehmende-leitpersonen-und-gesamtauszahlungen,,"Jugend+Sport: Teilnehmende, Leitpersonen und Gesamtauszahlungen",2023-11-20T11:18:00.290229,2026-03-06T13:24:28.021706,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",891,9,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7778,63
fdb7898c-1970-4290-96db-350d66e13c78,schulerinnen-und-schuler-der-offentlichen-volksschule-auf-sekundarstufe-i-nach-anforderungstype,,Schülerinnen und Schüler der öffentlichen Volksschule auf Sekundarstufe I nach Anforderungstypen,2024-10-25T11:01:45.636764,2026-03-06T13:24:23.764857,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",633,9,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,96
578b63e3-288e-4b56-a556-771b917a576b,landwirtschaftliche-kulturen-und-baume-im-kanton-thurgau,,Landwirtschaftliche Kulturen und Bäume im Kanton Thurgau,2024-07-27T11:01:22.691626,2026-03-06T13:24:17.100462,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",383,15,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7778,56
def4897e-3077-49de-82fc-095ec5f227f3,bibliothekenstatistik-der-offentlichen-bibliotheken-im-kanton-thurgau-2005-2019,,Bibliothekenstatistik der Öffentlichen Bibliotheken im Kanton Thurgau (2005-2019),2025-12-23T12:35:54.862814,2026-03-06T13:24:12.894611,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",1454,14,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,81
deadcc32-b7aa-4bd5-b928-f43968c4505d,staatsrechnung-thurgau-2021-bilanz,,Staatsrechnung Thurgau 2021 - Bilanz,2023-07-13T11:02:59.381123,2026-03-06T13:24:09.226816,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",574,9,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,36
597e7754-0628-4c00-98ab-4f0723b07221,ubersicht-finanzlage-schulgemeinden-kanton-thurgau-2015,,Übersicht Finanzlage Schulgemeinden Kanton Thurgau 2015,2022-02-28T11:03:10.085000,2026-03-06T13:24:05.600297,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",764,9,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,55
a8131cb3-7033-4983-ba59-c3d8fdd846b2,covid-19-fallzahlen-kanton-thurgau,COVID_19 Number of Cases - Canton Thurgau,COVID-19-Fallzahlen Kanton Thurgau,2022-03-01T15:39:11.983651,2026-03-06T13:24:01.533147,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",958,15,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7778,41
ce690ae0-6369-4ca1-9a18-e07ca088318c,ortschaftenverzeichnis-kanton-thurgau-2024,,Ortschaftenverzeichnis Kanton Thurgau 2024,2024-04-16T11:04:30.670802,2026-03-06T13:23:55.002162,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",664,7,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,42
5d9fc777-0673-46ac-95be-45f65c48b028,hydrometrie-thurgau-abfluss-kombiniert-m-s,,Hydrometrie Thurgau - Abfluss kombiniert (m³/s),2025-08-27T15:18:00.900375,2026-03-06T13:23:48.376716,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",1012,10,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,47
15a5ab3e-e6f4-4576-a8b5-6027b7f5df4c,siedlungsverzeichnis-des-kantons-thurgau-2022,,Siedlungsverzeichnis des Kantons Thurgau 2022,2022-06-14T11:01:07.482905,2026-03-06T13:23:44.726103,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",861,7,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,45
ed8535f8-166f-4e79-acaa-fffc4c06ff91,luftqualitatsmessungen-ostluft-thurgau-tagesmittelwerte,,Luftqualitätsmessungen Ostluft Thurgau – Tagesmittelwerte,2025-10-30T11:30:33.339623,2026-03-06T13:23:38.104655,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",2260,12,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,57
ade9febb-6b4d-4db8-a685-af76b51b3544,hydrometrie-thurgau-elektrische-leitfahigkeit-ms-cm,,Hydrometrie Thurgau - Elektrische Leitfähigkeit (mS/cm),2025-08-27T15:19:54.875492,2026-03-06T13:23:34.232364,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",1005,10,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,55
db0d4122-5ee2-4569-8d7d-847d42d05dd1,linienkennzahlen-zum-offentlichen-regionalverkehr-kanton-thurgau,,Linienkennzahlen zum Öffentlichen Regionalverkehr Kanton Thurgau,2025-10-28T11:08:01.200166,2026-03-06T13:23:30.460773,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",360,8,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,64
